timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777239374808,70,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-289,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,69,0,1
1777239371441,3764,GET /restaurants (search),200,OK,Week4 Load Group 1-352,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,3764,0,4
1777239371442,3810,GET /restaurants (search),200,OK,Week4 Load Group 1-270,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,3810,0,3
1777239371235,4052,GET /restaurants (search),200,OK,Week4 Load Group 1-314,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,4052,0,1
1777239375206,90,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-352,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,90,0,1
1777239375253,45,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-270,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,45,0,1
1777239375288,35,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-314,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,35,0,1
1777239371417,3920,GET /restaurants (search),200,OK,Week4 Load Group 1-330,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,3919,0,1
1777239371441,3903,GET /restaurants (search),200,OK,Week4 Load Group 1-355,text,true,,1409,150,197,197,http://localhost:8004/restaurants?search=pizza&city=San+Jose,3903,0,4
1777239375297,50,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-352,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,50,0,1
1777239375298,80,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-270,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,80,0,1
1777239375323,58,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-314,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,57,0,1
1777239375337,96,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-330,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,94,0,1
1777239375345,89,POST /restaurants/{id}/reviews,401,Unauthorized,Week4 Load Group 1-355,text,false,Test failed: code expected to contain /202/,227,292,197,197,http://localhost:8001/restaurants/1/reviews,88,0,1
1777239375434,31,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-355,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,31,0,0
1777239375434,31,POST /auth/user/login,401,Unauthorized,Week4 Load Group 1-330,text,false,Test failed: code expected to contain /200/,192,258,197,197,http://localhost:8003/auth/user/login,31,0,0
